Subject,Start Date,Start Time,End Date,End Time,Description,Location
Monthly Strategy Delivery,01/01/2026,09:00 AM,01/01/2026,10:00 AM,Kickoff monthly delivery and alignment,
Monthly Strategy Planning,01/29/2026,09:00 AM,01/29/2026,10:00 AM,Plan next month’s priorities,
Publish Mungu Blog #1,01/16/2026,10:00 AM,01/16/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #1,01/23/2026,10:00 AM,01/23/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,02/01/2026,09:00 AM,02/01/2026,10:00 AM,Kickoff February,
Monthly Strategy Planning,02/26/2026,09:00 AM,02/26/2026,10:00 AM,Plan March,
Publish Mungu Blog #2,02/05/2026,10:00 AM,02/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #2,02/13/2026,10:00 AM,02/13/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,03/01/2026,09:00 AM,03/01/2026,10:00 AM,Kickoff March,
Monthly Strategy Planning,03/29/2026,09:00 AM,03/29/2026,10:00 AM,Plan April,
Publish Mungu Blog #3,03/06/2026,10:00 AM,03/06/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #3,03/10/2026,10:00 AM,03/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,04/01/2026,09:00 AM,04/01/2026,10:00 AM,Kickoff April,
Monthly Strategy Planning,04/29/2026,09:00 AM,04/29/2026,10:00 AM,Plan May,
Publish Mungu Blog #4,04/05/2026,10:00 AM,04/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #4,04/10/2026,10:00 AM,04/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,05/01/2026,09:00 AM,05/01/2026,10:00 AM,Kickoff May,
Monthly Strategy Planning,05/29/2026,09:00 AM,05/29/2026,10:00 AM,Plan June,
Publish Mungu Blog #5,05/05/2026,10:00 AM,05/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #5,05/10/2026,10:00 AM,05/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,06/01/2026,09:00 AM,06/01/2026,10:00 AM,Kickoff June,
Monthly Strategy Planning,06/29/2026,09:00 AM,06/29/2026,10:00 AM,Plan July,
Publish Mungu Blog #6,06/05/2026,10:00 AM,06/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #6,06/10/2026,10:00 AM,06/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,07/01/2026,09:00 AM,07/01/2026,10:00 AM,Kickoff July,
Monthly Strategy Planning,07/29/2026,09:00 AM,07/29/2026,10:00 AM,Plan August,
Publish Mungu Blog #7,07/05/2026,10:00 AM,07/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #7,07/10/2026,10:00 AM,07/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,08/01/2026,09:00 AM,08/01/2026,10:00 AM,Kickoff August,
Monthly Strategy Planning,08/29/2026,09:00 AM,08/29/2026,10:00 AM,Plan September,
Publish Mungu Blog #8,08/05/2026,10:00 AM,08/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #8,08/10/2026,10:00 AM,08/10/2026,11:00 AM,Narrative blog publish,
