post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
182189305.the-gemini-bias,2025-12-20T19:15:55.176Z,true,2025-12-20T19:15:55.288Z,2025-12-20T19:15:55.288Z,newsletter,everyone,The Gemini Bias,as seen from a human navigator's perspective,
182183090.rehydrating-gemini,2025-12-20T19:05:51.260Z,true,2025-12-20T19:05:51.473Z,2025-12-20T19:05:51.473Z,newsletter,everyone,Rehydrating Gemini,a first test,
182182558.the-designers-delusion-of-gemini,2025-12-20T17:40:27.275Z,true,2025-12-20T17:40:27.433Z,2025-12-20T17:40:27.433Z,newsletter,everyone,The Designer's Delusion (of Gemini and Google),A Gemini Analysis,
182180586.gemini-llm-the-analysis,2025-12-20T17:32:24.065Z,true,2025-12-20T17:32:24.265Z,2025-12-20T17:32:24.265Z,newsletter,everyone,Gemini LLM: The analysis,a continuation,
182179579.aillm-systems-engineering-a-gemini,2025-12-20T17:00:03.304Z,true,2025-12-20T17:00:03.493Z,2025-12-20T17:00:03.493Z,newsletter,everyone,AI/LLM Systems Engineering: A Gemini Perspective,and even more cross pollination of LLM-navigator ideas,
182178803.aillm-systems-engineering-a-claude,2025-12-20T16:42:20.899Z,true,2025-12-20T16:42:21.025Z,2025-12-20T16:42:21.025Z,newsletter,everyone,AI/LLM Systems Engineering: A Claude Perspective,cross pollination of ideas,
182176634.aillm-engineering,2025-12-20T16:04:23.591Z,true,2025-12-20T16:04:23.736Z,2025-12-20T16:04:23.736Z,newsletter,everyone,AI/LLM Engineering,,
182175063.aillm-systems-engineering,2025-12-20T15:51:57.271Z,true,2025-12-20T15:51:57.443Z,2025-12-20T15:51:57.443Z,newsletter,everyone,AI/LLM Systems Engineering,yet even more refinements,
182172413.aillm-hardware-engineering,2025-12-20T15:13:57.992Z,true,2025-12-20T15:13:58.113Z,2025-12-20T15:13:58.113Z,newsletter,everyone,AI/LLM Hardware Engineering,even more refinements,
182147055.the-sambara-project,2025-12-20T04:11:26.220Z,true,2025-12-20T04:11:26.332Z,2025-12-20T04:11:26.332Z,newsletter,everyone,The Sambara Project,A Unified Operating System for Artificial Intelligence,
182146828.the-sambara-os,2025-12-20T04:04:13.692Z,true,2025-12-20T04:04:13.922Z,2025-12-20T04:04:13.922Z,newsletter,everyone,The Sambara OS,The Meridian-Sambara operating system of AI,
182146598.general-purpose-operating-systems-206,2025-12-20T03:57:50.410Z,true,2025-12-20T03:57:50.528Z,2025-12-20T03:57:50.528Z,newsletter,everyone,General-Purpose Operating Systems for Artificial Intelligence,Why AI needs more than “an OS” — and why naming matters,
182146227.general-purpose-operating-systems,2025-12-20T03:54:43.774Z,true,2025-12-20T03:54:43.976Z,2025-12-20T03:54:43.976Z,newsletter,everyone,General Purpose Operating Systems,a first taxonomy,
